player_hand,dealer_upcard,can_double,result
2C-4S-KC-5C,AS,0,stand
QS-3D,8H,1,hit
QC-10C,KD,1,stand
5D-10S,5H,1,stand
2C-JS,JD,1,hit
2C-JS-4S,JD,0,hit
4D-6H,5D,1,double down
8D-6S,KH,1,hit
5S-KH,3S,1,stand
9H-6C,KC,1,hit
9H-6C-5D,KC,0,stand
JD-9S,KC,1,stand
7C-5S,KC,1,hit
5C-QS,JS,1,hit
4C-3S,KS,1,hit
4C-3S-10H,KS,0,stand
10H-7C,2H,1,stand
10S-3C,6S,1,stand
KD-2S,4S,1,stand
4H-2H,10S,1,hit
4H-2H-9S,10S,0,hit
4H-2H-9S-6H,10S,0,stand
10S-10H,6D,1,stand
4H-10C,9S,1,hit
2S-10S,6H,1,stand
6C-6D,8H,1,hit
6C-6D-7C,8H,0,stand
9H-6H,10S,1,hit
9H-6H-5H,10S,0,stand
8D-4C,10C,1,hit
8D-4C-8C,10C,0,stand
6D-QC,JS,1,hit
6D-QC-2H,JS,0,stand
JD-3C,10D,1,hit
4S-9C,AS,1,hit
8H-KS,QS,1,stand
KS-5C,KH,1,hit
6H-8S,2C,1,stand
QH-8C,4S,1,stand
10S-QD,7C,1,stand
QD-2H,KS,1,hit
6C-3S,KS,1,hit
6C-3S-8S,KS,0,stand
KS-2D,9S,1,hit
KS-2D-3C,9S,0,hit
6S-10C,AC,1,hit
6S-10C-2S,AC,0,stand
9H-QS,6S,1,stand
2S-8S,JS,1,hit
2S-8S-2C,JS,0,hit
2D-6C,2S,1,hit
2D-6C-3D,2S,0,hit
2D-6C-3D-3H,2S,0,stand
QH-10D,4D,1,stand
AC-3C,8S,1,hit
AC-3C-9C,8S,0,hit
KD-7C,JS,1,stand
KH-9H,2S,1,stand
QH-JS,KC,1,stand
KS-9S,KH,1,stand
7S-2H,QC,1,hit
7S-2H-3S,QC,0,hit
7S-2H-3S-4S,QC,0,hit
7S-2H-3S-4S-2D,QC,0,stand
QS-6H,5H,1,stand
7D-JH,10C,1,stand
AS-6H,2C,1,hit
AS-6H-JD,2C,0,stand
QH-JH,QC,1,stand
5S-10H,4C,1,stand
3S-9D,5H,1,stand
KH-4S,4C,1,stand
JS-QH,3S,1,stand
9S-4H,8D,1,hit
9S-4H-3D,8D,0,hit
7C-4D,9D,1,double down
9D-5H,5C,1,stand
4S-9D,JD,1,hit
4D-3H,5D,1,hit
4D-3H-6D,5D,0,stand
2H-QC,8D,1,hit
2H-QC-3H,8D,0,hit
6D-8H,KH,1,hit
9H-10C,JD,1,stand
6D-6S,9H,1,hit
6D-6S-4S,9H,0,hit
6C-4C,QD,1,hit
6C-4C-JS,QD,0,stand
8D-2C,JH,1,hit
8D-2C-KH,JH,0,stand
6C-4D,9H,1,double down
7C-3D,9C,1,double down
KS-10H,JC,1,stand
5H-7D,JH,1,hit
5H-7D-8C,JH,0,stand
8S-6H,3H,1,stand
5H-6D,7S,1,double down
10D-5D,10H,1,hit
6H-3S,4H,1,double down
4S-KD,KS,1,hit
4D-QC,3H,1,stand
7H-JC,6S,1,stand
2H-9D,5D,1,double down
3D-4H,8D,1,hit
3D-4H-QC,8D,0,stand
9H-QH,7H,1,stand
4H-10C,5C,1,stand
5D-9S,5H,1,stand
9D-5S,QS,1,hit
10D-5C,10H,1,hit
10D-5C-6H,10H,0,stand
7S-2C,QD,1,hit
7S-2C-10S,QD,0,stand
8C-5D,4S,1,stand
9H-QC,6S,1,stand
7D-2S,9S,1,hit
7D-2S-5S,9S,0,hit
2S-9C,JC,1,double down
2S-5C,7C,1,hit
2S-5C-2H,7C,0,hit
2S-5C-2H-AC,7C,0,stand
9D-9S,KD,1,stand
JC-8C,JS,1,stand
AD-5C,4C,1,double down
7C-AH,3H,1,double down
7D-QD,8H,1,stand
10C-KD,6S,1,stand
2D-3H,5H,1,hit
2D-3H-JD,5H,0,stand
9H-KD,AC,1,stand
QS-6S,7S,1,hit
JS-4D,4C,1,stand
9C-6D,6H,1,stand
8H-JD,6C,1,stand
KH-8D,AS,1,stand
7C-AS,5D,1,double down
8H-5D,4D,1,stand
QD-QS,9S,1,stand
5C-3H,QH,1,hit
5C-3H-8S,QH,0,hit
2D-KD,3C,1,hit
2D-KD-8H,3C,0,stand
3C-JS,3H,1,stand
9H-6D,2C,1,stand
4C-10H,9H,1,hit
4C-10H-7S,9H,0,stand
4D-10H,7S,1,hit
4D-10H-6D,7S,0,stand
5C-9C,2H,1,stand
10H-2C,6D,1,stand
7D-3S,AS,1,hit
7D-3S-10D,AS,0,stand
4S-3C,QH,1,hit
4S-3C-10S,QH,0,stand
5S-JD,6S,1,stand
JH-7S,6D,1,stand
AC-5C,4H,1,double down
4S-4H,3S,1,hit
4S-4H-4C,3S,0,hit
6D-8S,7H,1,hit
3D-JS,5S,1,stand
KH-9S,7C,1,stand
2C-6D,7H,1,hit
2C-6D-9S,7H,0,stand
5C-9S,7C,1,hit
3D-9C,3S,1,hit
3D-9C-9S,3S,0,stand
2D-7C,3C,1,double down
5H-KS,9C,1,hit
9S-5C,3D,1,stand
6C-6D,10S,1,hit
6C-6D-9S,10S,0,stand
5D-QS,KH,1,hit
4C-5S,10H,1,hit
4C-5S-8C,10H,0,stand
KC-QH,8H,1,stand
QC-10S,3S,1,stand
QH-6C,8S,1,hit
QH-6C-5D,8S,0,stand
5S-9D,3S,1,stand
4D-KD,4S,1,stand
2S-7D,9D,1,hit
2S-7D-9H,9D,0,stand
QD-KD,2D,1,stand
10S-QC,10C,1,stand
5C-6D,AS,1,double down
JC-7C,10C,1,stand
QH-3D,8H,1,hit
QH-3D-2D,8H,0,hit
7D-2S,6S,1,double down
7H-2H,6S,1,double down
KC-7S,JD,1,stand
QH-7D,10D,1,stand
4H-7H,KH,1,double down
KS-9C,6C,1,stand
5D-KH,9C,1,hit
5D-KH-AS,9C,0,hit
9D-KS,8H,1,stand
5D-QC,4D,1,stand
QS-KC,2H,1,stand
JD-6S,5H,1,stand
JD-4H,4S,1,stand
3S-2H,7D,1,hit
